gdb9_index,E1-CC2,E2-CC2,f1-CC2,f2-CC2
1.000000000000000000e+00,4.329518600000000217e-01,4.329595800000000105e-01,2.497282500000000127e-01,2.497364800000000107e-01
2.000000000000000000e+00,2.652195199999999864e-01,3.500806399999999985e-01,6.701543999999999557e-02,3.004918000000000172e-02
3.000000000000000000e+00,2.865373500000000240e-01,3.635789999999999855e-01,3.775532000000000193e-02,0.000000000000000000e+00
4.000000000000000000e+00,3.586286699999999827e-01,3.586286699999999827e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,3.199576199999999981e-01,3.360740600000000078e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.539135500000000101e-01,2.912337799999999977e-01,0.000000000000000000e+00,9.102332000000000478e-02
7.000000000000000000e+00,3.761375299999999977e-01,3.761456799999999823e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,2.666906299999999841e-01,3.331905099999999953e-01,9.443000000000000222e-04,7.160771999999999970e-02
9.000000000000000000e+00,2.733891399999999750e-01,2.857495999999999925e-01,0.000000000000000000e+00,1.194200000000000079e-03
1.000000000000000000e+01,3.196551100000000201e-01,3.344135999999999775e-01,1.000000000000000021e-08,2.746999999999999876e-03
1.100000000000000000e+01,1.657269500000000118e-01,2.855555799999999755e-01,4.483000000000000277e-05,4.090802999999999801e-02
1.200000000000000000e+01,2.163159799999999910e-01,2.822198499999999943e-01,9.389399999999999786e-04,1.318950999999999978e-02
1.300000000000000000e+01,3.588071400000000244e-01,3.692546099999999831e-01,1.572599999999999953e-03,2.984849999999999830e-03
1.400000000000000000e+01,2.666987599999999792e-01,3.243599999999999817e-01,2.151099999999999920e-04,2.683589000000000113e-02
1.500000000000000000e+01,2.741024000000000238e-01,3.146898300000000037e-01,4.407211999999999935e-02,6.006051999999999919e-02
1.600000000000000000e+01,3.281523100000000026e-01,3.281838999999999729e-01,7.237340000000000093e-03,7.242170000000000031e-03
1.700000000000000000e+01,2.963557399999999786e-01,2.998173399999999877e-01,6.822830000000000214e-03,6.824816999999999689e-02
1.800000000000000000e+01,1.702819399999999928e-01,2.585644999999999749e-01,0.000000000000000000e+00,3.421964999999999729e-02
1.900000000000000000e+01,2.159625099999999964e-01,2.577638700000000060e-01,6.099599999999999944e-04,2.983451000000000158e-02
2.000000000000000000e+01,2.472350799999999960e-01,2.742732900000000029e-01,1.623539999999999922e-03,1.735300000000000004e-04
2.100000000000000000e+01,3.509757299999999858e-01,3.518173499999999732e-01,3.367880000000000179e-03,8.406772999999999330e-02
2.200000000000000000e+01,2.674765299999999901e-01,3.276529200000000142e-01,7.916690000000000532e-03,2.838774999999999979e-02
2.300000000000000000e+01,2.055245800000000123e-01,2.146736399999999989e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,2.238161700000000087e-01,2.337888800000000045e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+01,2.487913099999999877e-01,2.597945700000000024e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000000e+01,1.477704800000000096e-01,2.137787899999999963e-01,1.901999999999999882e-04,1.300000000000000047e-06
2.700000000000000000e+01,1.486907199999999984e-01,2.514805500000000249e-01,5.700599999999999461e-04,5.999999999999999728e-07
2.800000000000000000e+01,1.080890099999999993e-01,1.674263500000000016e-01,2.369799999999999977e-04,2.999999999999999732e-08
2.900000000000000000e+01,2.972326800000000269e-01,2.972327200000000058e-01,8.875400000000000303e-04,8.875699999999999605e-04
3.000000000000000000e+01,2.712721699999999792e-01,2.832992300000000130e-01,-2.999999999999999732e-08,5.869980000000000336e-03
3.100000000000000000e+01,3.163847599999999871e-01,3.302339499999999983e-01,2.599999999999999988e-07,1.254975000000000014e-02
3.200000000000000000e+01,2.492587699999999906e-01,3.081734199999999757e-01,1.067560000000000037e-02,1.243530999999999977e-02
3.300000000000000000e+01,2.515079100000000012e-01,2.708573200000000125e-01,3.871000000000000038e-05,6.287200000000000384e-04
3.400000000000000000e+01,2.667526900000000145e-01,3.063844399999999801e-01,5.944700000000000461e-04,2.623200000000000228e-04
3.500000000000000000e+01,1.627530899999999892e-01,2.840035699999999830e-01,6.317000000000000674e-05,3.116543000000000091e-02
3.600000000000000000e+01,2.185108400000000117e-01,2.615005100000000193e-01,1.088210000000000045e-03,3.380599999999999990e-04
3.700000000000000000e+01,2.204665799999999953e-01,2.943321500000000146e-01,1.393279999999999996e-03,1.688381499999999924e-01
3.800000000000000000e+01,1.573438400000000126e-01,2.619234999999999758e-01,5.933000000000000285e-05,7.798020000000000125e-03
3.900000000000000000e+01,3.503992799999999797e-01,3.538872800000000263e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+01,2.663692200000000176e-01,3.184381399999999807e-01,4.640000000000000027e-04,2.020705999999999891e-02
4.100000000000000000e+01,2.724503600000000025e-01,3.104892399999999997e-01,4.621341000000000337e-02,1.012909000000000032e-02
4.200000000000000000e+01,2.601131400000000204e-01,2.875891300000000261e-01,1.509810000000000102e-03,2.465486000000000066e-02
4.300000000000000000e+01,3.121464500000000197e-01,3.219248200000000004e-01,1.500498999999999930e-02,1.485900000000000068e-03
4.400000000000000000e+01,2.966633900000000268e-01,3.003594099999999933e-01,4.113072000000000256e-02,1.398949999999999933e-03
4.500000000000000000e+01,2.645006899999999828e-01,2.919938799999999834e-01,4.791519000000000333e-02,4.187645999999999730e-02
